image_no,file,category,subtype,score,tier,analysis_note
267,00267.webp,illustration,main_story_cut,90,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
269,00269.webp,illustration,main_story_cut,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
270,00270.webp,illustration,main_story_cut,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
271,00271.webp,illustration,main_story_cut,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
272,00272.webp,illustration,main_story_cut,90,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
273,00273.webp,illustration,main_story_cut,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
276,00276.webp,illustration,main_story_cut,90,A,"mid-key, balanced, muted, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
283,00283.webp,illustration,main_story_cut,90,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
284,00284.webp,illustration,main_story_cut,90,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
285,00285.webp,illustration,main_story_cut,90,A,"low-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
286,00286.webp,illustration,main_story_cut,90,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
287,00287.webp,illustration,main_story_cut,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
291,00291.webp,illustration,main_story_rough,90,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
292,00292.webp,illustration,main_story_rough,90,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
293,00293.webp,illustration,main_story_rough,90,A,"Process evidence: low-key, cool; compare line/rough value plan against color result to learn what survives from composition into final rendering."
297,00297.webp,illustration,main_story_rough,90,A,"Process evidence: low-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
300,00300.webp,illustration,main_story_rough,90,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
86,0086.webp,environment,memorial_lobby_final,89,A,"high-key, warm, muted, soft-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
102,00102.webp,environment,memorial_lobby_final,89,A,"high-key, balanced, muted, soft-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
107,00107.webp,environment,memorial_lobby_final,89,A,"high-key, balanced, muted, soft-contrast; single-character environmental portrait. Analyze camera distance, prop context and practical/ambient light interaction rather than treating it as a plain background."
162,00162.webp,illustration,pv_cut,89,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
163,00163.webp,illustration,pv_cut,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
164,00164.webp,illustration,pv_cut,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
165,00165.webp,illustration,pv_cut,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
167,00167.webp,illustration,pv_cut,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
168,00168.webp,illustration,pv_cut,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
169,00169.webp,illustration,pv_cut,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
174,00174.webp,illustration,pv_cut,89,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
175,00175.webp,illustration,pv_cut,89,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
176,00176.webp,illustration,pv_cut,89,A,"mid-key, balanced, muted, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
177,00177.webp,illustration,pv_cut,89,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
178,00178.webp,illustration,pv_cut,89,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
179,00179.webp,illustration,pv_cut,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
181,00181.webp,illustration,pv_cut,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
184,00184.webp,illustration,pv_cut,89,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
185,00185.webp,illustration,pv_cut,89,A,"mid-key, balanced, muted, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
186,00186.webp,illustration,pv_cut,89,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
187,00187.webp,illustration,pv_cut,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
188,00188.webp,illustration,pv_cut,89,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
189,00189.webp,illustration,pv_cut,89,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
190,00190.webp,illustration,pv_cut,89,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
191,00191.webp,illustration,pv_cut,89,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
195,00195.webp,illustration,pv_cut,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
196,00196.webp,illustration,pv_cut,89,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
226,00226.webp,illustration,main_story_cut,89,A,"low-key, warm, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
229,00229.webp,illustration,main_story_cut,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
232,00232.webp,illustration,main_story_cut,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
233,00233.webp,illustration,main_story_cut,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
234,00234.webp,illustration,main_story_cut,89,A,"low-key, balanced, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
239,00239.webp,illustration,main_story_cut,89,A,"low-key, balanced, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
242,00242.webp,illustration,main_story_cut,89,A,"low-key, warm, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
243,00243.webp,illustration,main_story_cut,89,A,"low-key, warm, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
244,00244.webp,illustration,main_story_cut,89,A,"low-key, warm, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
246,00246.webp,illustration,main_story_cut,89,A,"low-key, warm, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
254,00254.webp,illustration,main_story_cut,89,A,"low-key, balanced, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
258,00258.webp,illustration,main_story_cut,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
259,00259.webp,illustration,main_story_cut,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
277,00277.webp,illustration,main_story_cut,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
279,00279.webp,illustration,main_story_cut,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
280,00280.webp,illustration,main_story_cut,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
281,00281.webp,illustration,main_story_cut,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
5,005.webp,illustration,final_key_visual,88,A,"Final promotional illustration: mid-key, warm, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
6,006.webp,illustration,final_key_visual,88,A,"Final promotional illustration: mid-key, warm, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
7,007.webp,illustration,final_key_visual,88,A,"Final promotional illustration: mid-key, cool, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
8,008.webp,illustration,final_key_visual,88,A,"Final promotional illustration: high-key, cool, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
9,009.webp,illustration,final_key_visual,88,A,"Final promotional illustration: mid-key, cool, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
10,0010.webp,illustration,final_key_visual,88,A,"Final promotional illustration: high-key, balanced, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
11,0011.webp,illustration,final_key_visual,88,A,"Final promotional illustration: mid-key, warm, moderate; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
12,0012.webp,illustration,final_key_visual,88,A,"Final promotional illustration: mid-key, warm, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
13,0013.webp,illustration,final_key_visual,88,A,"Final promotional illustration: mid-key, cool, vivid; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
14,0014.webp,illustration,final_key_visual,88,A,"Final promotional illustration: high-key, warm, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
15,0015.webp,illustration,final_key_visual,88,A,"Final promotional illustration: mid-key, cool, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
16,0016.webp,illustration,final_key_visual,88,A,"Final promotional illustration: high-key, balanced, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
17,0017.webp,illustration,final_key_visual,88,A,"Final promotional illustration: high-key, warm, muted; evaluate cast hierarchy, eye-path and how environmental motifs support franchise/event identity."
192,00192.webp,illustration,pv_cut,88,A,"low-key, warm, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
193,00193.webp,illustration,pv_cut,88,A,"low-key, balanced, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
198,00198.webp,illustration,pv_rough_color_collection,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
199,00199.webp,illustration,pv_rough_color_collection,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
200,00200.webp,illustration,pv_rough_color_collection,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
201,00201.webp,illustration,pv_rough_color_collection,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
202,00202.webp,illustration,pv_rough_color_collection,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
203,00203.webp,illustration,pv_rough_color_collection,88,A,"Process evidence: low-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
204,00204.webp,illustration,pv_rough_color_collection,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
205,00205.webp,illustration,pv_rough_color_collection,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
206,00206.webp,illustration,pv_rough_color_collection,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
207,00207.webp,illustration,pv_rough_color_collection,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
224,00224.webp,illustration,main_story_cut,88,A,"low-key, balanced, moderate, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
240,00240.webp,illustration,main_story_cut,88,A,"low-key, cool, moderate, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
