image_no,file,category,subtype,luma,saturation,contrast,key,temperature,saturation_class,contrast_class,learning_score,tier,analysis_note
127,00127.webp,environment,memorial_lobby_rough,165.0,52.4,75.3,mid-key,cool,moderate,strong-contrast,86,B,"mid-key, cool; rough-to-final planning evidence. Useful for studying pose, crop, value grouping and how character/environment relationships are fixed before detail."
128,00128.webp,environment,memorial_lobby_rough,188.1,42.3,78.1,mid-key,balanced,muted,strong-contrast,86,B,"mid-key, balanced; rough-to-final planning evidence. Useful for studying pose, crop, value grouping and how character/environment relationships are fixed before detail."
129,00129.webp,divider,extra_contents,215.3,34.3,55.1,high-key,cool,muted,medium-contrast,20,C,"Reference page; high-key, cool, muted."
130,00130.webp,character,concept_design,207.9,16.8,73.5,high-key,balanced,muted,strong-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
131,00131.webp,character,concept_design,209.0,18.9,73.7,high-key,balanced,muted,strong-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
132,00132.webp,character,concept_design,229.1,9.9,54.9,high-key,balanced,muted,medium-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
133,00133.webp,character,concept_design,210.7,7.6,67.5,high-key,balanced,muted,medium-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
134,00134.webp,character,concept_design,217.9,15.1,59.9,high-key,balanced,muted,medium-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
135,00135.webp,character,concept_design,230.6,9.7,51.2,high-key,balanced,muted,medium-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
136,00136.webp,character,concept_design,213.6,13.6,66.1,high-key,balanced,muted,medium-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
137,00137.webp,character,concept_design,224.6,11.1,54.3,high-key,balanced,muted,medium-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
138,00138.webp,character,concept_design,233.0,7.5,42.3,high-key,balanced,muted,medium-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
139,00139.webp,character,concept_design,241.0,6.3,27.5,high-key,balanced,muted,soft-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
140,00140.webp,character,concept_design,236.4,4.8,34.7,high-key,balanced,muted,soft-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
141,00141.webp,character,concept_design,221.4,7.7,57.1,high-key,balanced,muted,medium-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
142,00142.webp,character,concept_design,226.0,15.4,48.6,high-key,balanced,muted,medium-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
143,00143.webp,character,concept_design,210.3,13.1,69.5,high-key,balanced,muted,medium-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
144,00144.webp,character,concept_design,229.2,6.7,51.2,high-key,balanced,muted,medium-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
145,00145.webp,character,concept_design,227.7,10.8,50.8,high-key,balanced,muted,medium-contrast,95,S,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
146,00146.webp,character,extra_concept_design,220.8,15.7,56.8,high-key,balanced,muted,medium-contrast,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
147,00147.webp,character,extra_concept_design,223.4,10.4,57.8,high-key,balanced,muted,medium-contrast,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
148,00148.webp,character,extra_concept_design,218.9,13.9,61.4,high-key,balanced,muted,medium-contrast,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
149,00149.webp,character,extra_concept_design,223.7,11.1,59.6,high-key,balanced,muted,medium-contrast,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
150,00150.webp,character,extra_concept_design,219.3,12.8,69.5,high-key,balanced,muted,medium-contrast,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
151,00151.webp,character,extra_concept_design,218.9,9.7,66.4,high-key,balanced,muted,medium-contrast,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
152,00152.webp,character,extra_concept_design,219.3,27.2,61.8,high-key,warm,muted,medium-contrast,90,A,"high-key, warm, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
153,00153.webp,character,extra_concept_design,215.5,40.5,68.8,high-key,cool,muted,medium-contrast,90,A,"high-key, cool, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
154,00154.webp,character,extra_concept_design,236.3,11.3,34.4,high-key,balanced,muted,soft-contrast,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
155,00155.webp,character,extra_concept_design,232.6,5.1,47.9,high-key,balanced,muted,medium-contrast,90,A,"high-key, balanced, muted; design-process page showing variants/turnarounds/props. Highest value is not final beauty but the visible decision path from silhouette to detail."
156,00156.webp,illustration,pv_cut,135.9,61.9,91.9,mid-key,cool,moderate,strong-contrast,96,S,"Environment board establishes the core Kivotos look: high-key cyan sky, clean city depth, atmospheric perspective and bright white architecture."
157,00157.webp,illustration,pv_cut,115.7,92.9,86.7,mid-key,cool,vivid,strong-contrast,95,S,"mid-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
158,00158.webp,illustration,pv_cut,108.8,105.6,80.5,mid-key,cool,vivid,strong-contrast,96,S,"Urban campus boards show how signage, transit, fences and vegetation create lived-in modern school space without cluttering the focal path."
159,00159.webp,illustration,pv_cut,113.2,90.1,85.3,mid-key,cool,vivid,strong-contrast,94,A,"mid-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
160,00160.webp,illustration,pv_cut,109.5,106.2,81.5,mid-key,cool,vivid,strong-contrast,94,A,"mid-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
161,00161.webp,illustration,pv_cut,116.3,82.3,83.8,mid-key,cool,moderate,strong-contrast,95,S,Wet/reflection school approach uses reflected sky and walking feet to add motion and freshness; environmental storytelling through surface response.
162,00162.webp,illustration,pv_cut,138.9,60.4,92.5,mid-key,cool,moderate,strong-contrast,89,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
163,00163.webp,illustration,pv_cut,129.9,55.5,86.8,mid-key,balanced,moderate,strong-contrast,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
164,00164.webp,illustration,pv_cut,135.2,56.4,89.8,mid-key,balanced,moderate,strong-contrast,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
165,00165.webp,illustration,pv_cut,139.7,53.4,92.8,mid-key,balanced,moderate,strong-contrast,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
166,00166.webp,illustration,pv_cut,128.0,57.1,87.5,mid-key,balanced,moderate,strong-contrast,94,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
167,00167.webp,illustration,pv_cut,120.8,74.5,89.2,mid-key,balanced,moderate,strong-contrast,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
168,00168.webp,illustration,pv_cut,138.9,61.6,91.4,mid-key,balanced,moderate,strong-contrast,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
169,00169.webp,illustration,pv_cut,113.8,63.9,85.1,mid-key,balanced,moderate,strong-contrast,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
170,00170.webp,illustration,pv_cut,118.1,120.5,90.6,mid-key,cool,vivid,strong-contrast,90,A,"mid-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
171,00171.webp,illustration,pv_cut,99.7,101.5,84.3,low-key,balanced,vivid,strong-contrast,90,A,"low-key, balanced, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
172,00172.webp,illustration,pv_cut,96.7,94.0,89.4,low-key,cool,vivid,strong-contrast,96,S,"Rooftop/city establishing cut uses a tiny subject against a large clean city mass, giving scale while preserving the bright-school-life tone."
173,00173.webp,illustration,pv_cut,132.1,79.4,85.9,mid-key,cool,moderate,strong-contrast,95,S,"Outdoor band scene uses saturated sky, stage props and group spacing; ensemble readability comes from silhouette separation and color rhythm."
174,00174.webp,illustration,pv_cut,128.8,75.8,87.1,mid-key,cool,moderate,strong-contrast,89,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
175,00175.webp,illustration,pv_cut,125.1,74.3,87.8,mid-key,cool,moderate,strong-contrast,89,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
176,00176.webp,illustration,pv_cut,166.4,42.0,98.7,mid-key,balanced,muted,strong-contrast,89,A,"mid-key, balanced, muted, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
177,00177.webp,illustration,pv_cut,161.6,45.1,96.3,mid-key,warm,moderate,strong-contrast,89,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
178,00178.webp,illustration,pv_cut,117.6,70.8,84.1,mid-key,cool,moderate,strong-contrast,89,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
179,00179.webp,illustration,pv_cut,128.3,53.7,88.8,mid-key,balanced,moderate,strong-contrast,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
180,00180.webp,illustration,pv_cut,122.2,71.1,83.5,mid-key,balanced,moderate,strong-contrast,96,S,"Shrine/sakura scene uses pink canopy, water reflection and red architectural anchors to express place identity immediately."
181,00181.webp,illustration,pv_cut,127.7,73.9,85.9,mid-key,balanced,moderate,strong-contrast,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
182,00182.webp,illustration,pv_cut,103.6,94.0,83.2,low-key,cool,vivid,strong-contrast,90,A,"low-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
183,00183.webp,illustration,pv_cut,80.5,102.1,74.6,low-key,cool,vivid,strong-contrast,90,A,"low-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
184,00184.webp,illustration,pv_cut,129.5,60.3,90.5,mid-key,warm,moderate,strong-contrast,89,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
185,00185.webp,illustration,pv_cut,152.1,43.5,97.0,mid-key,balanced,muted,strong-contrast,89,A,"mid-key, balanced, muted, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
186,00186.webp,illustration,pv_cut,142.5,54.6,91.3,mid-key,cool,moderate,strong-contrast,89,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
187,00187.webp,illustration,pv_cut,120.6,84.4,76.0,mid-key,balanced,moderate,strong-contrast,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
188,00188.webp,illustration,pv_cut,131.9,81.8,80.2,mid-key,warm,moderate,strong-contrast,89,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
189,00189.webp,illustration,pv_cut,117.3,78.7,88.5,mid-key,warm,moderate,strong-contrast,89,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
190,00190.webp,illustration,pv_cut,117.3,73.9,91.4,mid-key,warm,moderate,strong-contrast,89,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
191,00191.webp,illustration,pv_cut,137.5,58.3,95.5,mid-key,warm,moderate,strong-contrast,89,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
192,00192.webp,illustration,pv_cut,75.7,138.2,59.3,low-key,warm,vivid,medium-contrast,88,A,"low-key, warm, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
193,00193.webp,illustration,pv_cut,42.7,133.4,39.8,low-key,balanced,vivid,medium-contrast,88,A,"low-key, balanced, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
194,00194.webp,illustration,pv_cut,57.5,121.7,47.2,low-key,cool,vivid,medium-contrast,98,S,"Moonlit canal/city scene is a strong cool-night benchmark: blue-black architecture, warm window points, water reflections and a centered moon path."
195,00195.webp,illustration,pv_cut,125.1,53.2,84.1,mid-key,balanced,moderate,strong-contrast,89,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
196,00196.webp,illustration,pv_cut,121.9,86.4,92.2,mid-key,cool,moderate,strong-contrast,89,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
197,00197.webp,divider,illustration_cut_collection,126.8,41.3,108.6,mid-key,balanced,muted,strong-contrast,25,C,"Reference page; mid-key, balanced, muted."
198,00198.webp,illustration,pv_rough_color_collection,117.1,45.4,89.5,mid-key,balanced,moderate,strong-contrast,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
199,00199.webp,illustration,pv_rough_color_collection,125.9,43.3,94.1,mid-key,balanced,muted,strong-contrast,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
200,00200.webp,illustration,pv_rough_color_collection,124.5,40.6,95.4,mid-key,balanced,muted,strong-contrast,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
201,00201.webp,illustration,pv_rough_color_collection,127.0,44.5,97.1,mid-key,balanced,muted,strong-contrast,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
202,00202.webp,illustration,pv_rough_color_collection,112.0,40.0,103.7,mid-key,balanced,muted,strong-contrast,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
203,00203.webp,illustration,pv_rough_color_collection,67.5,46.1,89.8,low-key,balanced,moderate,strong-contrast,88,A,"Process evidence: low-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
204,00204.webp,illustration,pv_rough_color_collection,128.7,48.3,94.6,mid-key,balanced,moderate,strong-contrast,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
205,00205.webp,illustration,pv_rough_color_collection,111.1,54.2,88.7,mid-key,balanced,moderate,strong-contrast,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
206,00206.webp,illustration,pv_rough_color_collection,115.2,52.1,90.0,mid-key,balanced,moderate,strong-contrast,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
207,00207.webp,illustration,pv_rough_color_collection,108.3,57.7,86.4,mid-key,balanced,moderate,strong-contrast,88,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
208,00208.webp,illustration,main_story_cut,16.0,67.8,28.7,low-key,balanced,moderate,soft-contrast,87,B,"low-key, balanced, moderate, soft-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
209,00209.webp,illustration,main_story_cut,133.0,64.2,91.1,mid-key,balanced,moderate,strong-contrast,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
210,00210.webp,illustration,main_story_cut,144.7,58.1,92.5,mid-key,balanced,moderate,strong-contrast,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
211,00211.webp,illustration,main_story_cut,146.8,73.5,93.4,mid-key,cool,moderate,strong-contrast,96,S,Desert establishing shot relies on broad value simplicity and huge negative space; it is an example of environment scale overpowering the character.
212,00212.webp,illustration,main_story_cut,106.0,100.8,82.4,mid-key,cool,vivid,strong-contrast,98,S,"Single student in an empty classroom uses window backlight, desk repetition and blue-white values to make loneliness legible without dialogue."
213,00213.webp,illustration,main_story_cut,144.9,37.7,91.5,mid-key,balanced,muted,strong-contrast,90,A,"mid-key, balanced, muted, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
214,00214.webp,illustration,main_story_cut,69.7,77.6,83.5,low-key,balanced,moderate,strong-contrast,90,A,"low-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
215,00215.webp,illustration,main_story_cut,111.5,78.9,85.4,mid-key,cool,moderate,strong-contrast,90,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
216,00216.webp,illustration,main_story_cut,118.8,49.1,91.1,mid-key,balanced,moderate,strong-contrast,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
217,00217.webp,illustration,main_story_cut,143.9,41.5,88.1,mid-key,balanced,muted,strong-contrast,90,A,"mid-key, balanced, muted, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
218,00218.webp,illustration,main_story_cut,133.4,51.6,88.7,mid-key,balanced,moderate,strong-contrast,96,S,"Helicopter arrival uses sunset haze, strong horizon light and centered figure silhouette; scale and threat come from repeated aircraft shapes."
219,00219.webp,illustration,main_story_cut,89.4,115.5,67.0,low-key,warm,vivid,medium-contrast,97,S,Explosion scene uses hot orange backlight and dark foreground bodies; the bright event becomes the scene owner while characters read as survivors.
220,00220.webp,illustration,main_story_cut,138.8,74.0,91.1,mid-key,warm,moderate,strong-contrast,90,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
221,00221.webp,illustration,main_story_cut,125.6,99.1,78.7,mid-key,warm,vivid,strong-contrast,91,A,"mid-key, warm, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
222,00222.webp,illustration,main_story_cut,145.3,40.8,101.2,mid-key,balanced,muted,strong-contrast,90,A,"mid-key, balanced, muted, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
223,00223.webp,illustration,main_story_cut,116.8,55.7,90.9,mid-key,balanced,moderate,strong-contrast,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
224,00224.webp,illustration,main_story_cut,33.9,86.1,55.4,low-key,balanced,moderate,medium-contrast,88,A,"low-key, balanced, moderate, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
225,00225.webp,illustration,main_story_cut,91.1,92.0,77.6,low-key,warm,vivid,strong-contrast,91,A,"low-key, warm, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
226,00226.webp,illustration,main_story_cut,87.0,92.5,66.2,low-key,warm,vivid,medium-contrast,89,A,"low-key, warm, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
227,00227.webp,illustration,main_story_cut,46.7,103.2,36.1,low-key,warm,vivid,soft-contrast,97,S,Destroyed tank at sunset combines a heavy mechanical silhouette with orange-red landscape; environmental damage communicates conflict before text.
228,00228.webp,illustration,main_story_cut,69.8,132.4,65.3,low-key,cool,vivid,medium-contrast,96,S,"Blue control-room scene uses screen rectangles as secondary light sources and visual frames; tech space is defined through value blocks, not decoration."
229,00229.webp,illustration,main_story_cut,59.0,136.1,55.6,low-key,cool,vivid,medium-contrast,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
230,00230.webp,illustration,main_story_cut,48.6,128.0,45.8,low-key,balanced,vivid,medium-contrast,95,S,Combat close action uses red accent streaks against dark violet space; diagonal energy lines make impact direction immediately readable.
231,00231.webp,illustration,main_story_cut,49.5,109.0,45.0,low-key,cool,vivid,medium-contrast,96,S,Storm/combat wide shot uses cool grays and violent diagonals to make weather part of the conflict rather than a background effect.
232,00232.webp,illustration,main_story_cut,69.6,102.6,60.0,low-key,cool,vivid,medium-contrast,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
233,00233.webp,illustration,main_story_cut,56.6,112.4,51.5,low-key,cool,vivid,medium-contrast,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
234,00234.webp,illustration,main_story_cut,54.8,92.1,59.7,low-key,balanced,vivid,medium-contrast,89,A,"low-key, balanced, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
235,00235.webp,illustration,main_story_cut,131.8,55.3,94.4,mid-key,balanced,moderate,strong-contrast,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
236,00236.webp,illustration,main_story_cut,80.4,83.7,76.1,low-key,balanced,moderate,strong-contrast,90,A,"low-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
237,00237.webp,illustration,main_story_cut,56.1,159.1,50.9,low-key,cool,vivid,medium-contrast,96,S,Night deck scene uses moon/cool sky and long rails as perspective guides; moving figures read clearly because the ground plane is simplified.
238,00238.webp,illustration,main_story_cut,61.9,87.3,58.0,low-key,cool,moderate,medium-contrast,97,S,Stormy field wide shot sacrifices detail for silhouette and atmosphere; dramatic weather and distance create emotional scale.
239,00239.webp,illustration,main_story_cut,59.9,100.2,68.4,low-key,balanced,vivid,medium-contrast,89,A,"low-key, balanced, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
240,00240.webp,illustration,main_story_cut,88.7,72.3,52.9,low-key,cool,moderate,medium-contrast,88,A,"low-key, cool, moderate, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
241,00241.webp,illustration,main_story_cut,116.5,64.4,92.9,mid-key,balanced,moderate,strong-contrast,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
242,00242.webp,illustration,main_story_cut,59.9,131.9,66.8,low-key,warm,vivid,medium-contrast,89,A,"low-key, warm, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
243,00243.webp,illustration,main_story_cut,83.5,139.9,69.4,low-key,warm,vivid,medium-contrast,89,A,"low-key, warm, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
244,00244.webp,illustration,main_story_cut,66.6,158.3,47.6,low-key,warm,vivid,medium-contrast,89,A,"low-key, warm, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
245,00245.webp,illustration,main_story_cut,85.1,118.1,84.7,low-key,warm,vivid,strong-contrast,95,S,"low-key, warm, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
246,00246.webp,illustration,main_story_cut,52.6,160.3,44.2,low-key,warm,vivid,medium-contrast,89,A,"low-key, warm, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
247,00247.webp,illustration,main_story_cut,65.3,97.7,71.4,low-key,cool,vivid,strong-contrast,91,A,"low-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
248,00248.webp,illustration,main_story_cut,95.0,97.3,89.5,low-key,cool,vivid,strong-contrast,91,A,"low-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
249,00249.webp,illustration,main_story_cut,114.0,107.9,86.5,mid-key,cool,vivid,strong-contrast,98,S,Cyan-versus-magenta energy opposition turns abstract VFX into readable conflict sides; color itself functions as narrative alignment.
250,00250.webp,illustration,main_story_cut,103.5,63.3,86.8,low-key,cool,moderate,strong-contrast,90,A,"low-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
251,00251.webp,illustration,main_story_cut,94.8,101.7,78.7,low-key,cool,vivid,strong-contrast,91,A,"low-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
